 
Mahindra Scorpio Vlx 2wd Airbag Bs-iv (make Year 2010) (dies,Bengaluru,Mahindra,Scorpio,2010,Diesel,89000,696500
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,33000,1260000
Mahindra Xylo E8 Bs-iv (make Year 2011) (diesel),Bengaluru,Mahindra,Xylo,2011,Diesel,65000,644500
Mahindra Scorpio (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,90000,670000
Mahindra Scorpio (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,98000,670000
Mahindra Scorpio Lx Bs-iii (make Year 2011) (diesel),Bengaluru,Mahindra,Scorpio,2011,Diesel,84000,650000
Mahindra Xuv500 W4 (make Year 2016) (diesel),Bengaluru,Mahindra,Xuv500,2016,Diesel,3000,1900000
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,36000,1200000
Mahindra Xylo E8 Single owner 2011,Bengaluru,Mahindra,Xylo,2011,Diesel,64258,515000
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,78450,1190000
Mahindra Xuv500 W8 (make Year 2012) (diesel),Bengaluru,Mahindra,Xuv500,2012,Diesel,104000,1000000
2014 Mahindra Thar diesel 26500 Kms,Bengaluru,Mahindra,Thar,2014,Diesel,26500,780000
Mahindra Scorpio diesel 90000 Kms 2010 year,Bengaluru,Mahindra,Scorpio,2010,Diesel,90000,545000
mahindra bolero zlx 2013 model,Bengaluru,Mahindra,Bolero,2013,Diesel,28000,700000
mahindra xuv500 w8 version for sale,Bengaluru,Mahindra,Xuv500,2013,Diesel,49000,1050000
Mahindra Xuv500 W8 2013 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,41132,1325000
Mahindra Xylo E4 Bs-iv (make Year 2010) (diesel),Bengaluru,Mahindra,Xylo,2010,Diesel,95000,550000
2010 Mahindra Scorpio diesel 81000 Kms,Bengaluru,Mahindra,Scorpio,2010,Diesel,81000,590000
Mahindra Verito diesel 33000 Kms 2016 year,Bengaluru,Mahindra,Verito,2016,Diesel,33000,220000
2010 Mahindra Scorpio diesel 49000 Kms,Bengaluru,Mahindra,Scorpio,2010,Diesel,49000,700000
Mahindra Xuv500 W8 Awd (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,47214,1325000
Mahindra Thar Crde 4x4 Ac (make Year 2015) (diesel),Bengaluru,Mahindra,Thar,2015,Diesel,3000,1035000
2010 Mahindra Scorpio diesel 88000 Kms,Bengaluru,Mahindra,Scorpio,2010,Diesel,88000,595000
2010 Mahindra Scorpio diesel 88000 Kms,Bengaluru,Mahindra,Scorpio,2010,Diesel,88000,595000
2012 Mahindra Verito diesel 210000 Kms,Bengaluru,Mahindra,Verito,2012,Diesel,210000,330000
Mahindra Xuv500 W8 (make Year 2013) (diesel),Bengaluru,Mahindra,Xuv500,2013,Diesel,65000,1100000
Mahindra Xuv500 W8 (make Year 2014) (diesel),Bengaluru,Mahindra,Xuv500,2014,Diesel,40000,1375000
"2011 Mahindra Verito diesel 175413 Kms , one year upto date documents,",Bengaluru,Mahindra,Verito,2011,Diesel,175413,280000
Mahindra Scorpio Vlx 4wd At Bs-iv (make Year 2012) (diesel),Bengaluru,Mahindra,Scorpio,2012,Diesel,42400,945000
Mahindra Scorpio Sle Bs-iv (make Year 2010) (diesel),Bengaluru,Mahindra,Scorpio,2010,Diesel,64000,680000
Mahindra Xuv500 W8 (make Year 2014) (diesel),Bengaluru,Mahindra,Xuv500,2014,Diesel,20800,1395000
2010 Mahindra Scorpio diesel 25000 Kms,Bengaluru,Mahindra,Scorpio,2010,Diesel,25000,1100000
Mahindra Scorpio diesel 80000 Kms 2010 year,Bengaluru,Mahindra,Scorpio,2010,Diesel,80000,630000
2013 Mahindra Scorpio diesel 71000 Kms,Bengaluru,Mahindra,Scorpio,2013,Diesel,71000,725000
Mahindra Bolero diesel 131500 Kms 2013 year,Bengaluru,Mahindra,Bolero,2013,Diesel,131500,675000
