 
Mitsubishi Pajero Sport 2.5 Mt (make Year 2013) (diesel),Bengaluru,Mitsubishi,Pajero Sport,2013,Diesel,62000,1875000
Mitsubishi Pajero Sport 2.5 At (make Year 2016) (diesel),Bengaluru,Mitsubishi,Pajero Sport,2016,Diesel,1500,2500000
Mitsubishi Pajero Sport 2.5 Mt (make Year 2013) (diesel),Bengaluru,Mitsubishi,Pajero Sport,2013,Diesel,96000,1850000
Mitsubishi Pajero Sport (make Year 2014) (diesel),Bengaluru,Mitsubishi,Pajero Sport,2014,Diesel,51000,2300000
Mitsubishi Pajero Sport diesel 44000 Kms 2013 year,Bengaluru,Mitsubishi,Pajero Sport,2013,Diesel,44000,1500000
Mitsubishi Pajero Sport 2.5 Mt (make Year 2013) (diesel),Chennai,Mitsubishi,Pajero Sport,2013,Diesel,69000,1400000
Mitsubishi Pajero Sport,Hyderabad,Mitsubishi,Pajero Sport,2014,Diesel,68000,2100000
Pajero sports diesel,Hyderabad,Mitsubishi,Pajero Sport,2013,Diesel,71000,2255000
Mitsubishi Pajero Sport Pajero Sport 2.5 Mt (make Year 2014),Hyderabad,Mitsubishi,Pajero Sport,2014,Diesel,31000,2225000
Pajero sports diesel,Hyderabad,Mitsubishi,Pajero Sport,2013,Diesel,71000,2280000
Mitsubishi Pajero Sport Limited Edition (make Year 2015) (di,Kolkata,Mitsubishi,Pajero Sport,2015,Diesel,9000,2050000
Mitsubishi Pajero Sport Limited Edition (make Year 2015) (di,Kolkata,Mitsubishi,Pajero Sport,2015,Diesel,9000,2050000
Pajero Sports 4x4 top model run 9000kms only,Kolkata,Mitsubishi,Pajero Sport,2015,Diesel,9000,2050000
Almost New!!!Pajero Sports 2015 run 10000kms only,Kolkata,Mitsubishi,Pajero Sport,2015,Diesel,10000,2050000
Mitsubishi Pajero Sport 2.5 Mt (make Year 2013) (diesel),Mumbai,Mitsubishi,Pajero Sport,2013,Diesel,62000,1475000
Mitsubishi Pajero Sport Limited Edition (make Year 2012) (di,Mumbai,Mitsubishi,Pajero Sport,2012,Diesel,35000,1295000
Mitsubishi Pajero Sport 2.5 Mt (make Year 2012) (diesel),Delhi,Mitsubishi,Pajero Sport,2012,Diesel,40000,1651000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
Mitsubishi Pajero Sport 2.5 At (make Year 2015) (diesel),Delhi,Mitsubishi,Pajero Sport,2015,Diesel,24000,2250000
