Manufacturer,Year,Model,count,S.D,Mean
Tata,2015,Manza,1,0,230000
Tata,2015,Indigo Ecs,7,44991,424142
Tata,2015,Nano,13,15555,217846
Tata,2015,Indica Vista,15,22654,499333
Tata,2015,Indica V2,50,15671,389540
Tata,2015,Aria,1,0,685000
Tata,2015,Indica V2 Turbo,1,0,349999
Tata,2015,Indica Ev2,10,31642,410000
Tata,2015,Xenon Xt,2,17677,712500
Tata,2015,Indigo,2,0,489000
Tata,2015,Indigo Xl,1,0,390000
